original,gzip,brotli,minified,minifiedGzip,minifiedBrotli
52091,11604,10413,51730,11409,10269
45535,9716,8389,29947,6739,5886
4767,1436,1143,2201,744,566
4679,1413,1127,3367,1131,914
7019,2780,2391,6346,2402,2085
10802,3673,3246,8884,3353,3006
25271,6721,5540,6630,2460,2072
9514,4143,3636,9308,3997,3552
26926,8093,6886,9256,3947,3503
97100,33669,30366,96575,33496,30285
93868,33143,29389,93011,32634,29109
86927,30212,27501,86520,30094,27370
18023,5906,5033,8403,3093,2734
11262,3435,3019,8298,3041,2684
3880,1644,1410,3412,1380,1229
15650,4509,3952,15082,4172,3695
93099,32749,29520,92673,32658,29441
40879,12996,11159,12582,5006,4433
2564,1033,832,1572,652,523
24303,4841,4138,10868,2875,2555
11550,3026,2633,10868,2875,2555
3174,1225,984,1069,478,402
55774,16740,15134,46247,14924,13436
1517,806,616,1127,599,445
3710,1514,1324,2536,1086,966
3298,1548,1234,846,478,402
457,232,185,320,189,148
1724,768,578,1045,554,402
3655,1343,1075,629,365,297
3955,1522,1274,873,416,341
38247,11489,9930,17453,6162,5425
60551,13682,11005,46873,10503,8507
896,489,422,683,374,321
1207,605,493,931,459,372
1372,649,534,957,461,380
920,529,465,700,412,383
1208,610,483,913,491,400
847,470,411,670,382,332
879,496,447,681,389,348
929,530,459,703,407,380
932,508,426,678,384,324
881,488,420,679,385,336
1198,638,516,983,523,419
897,481,390,676,373,309
874,476,398,676,373,306
899,484,394,676,373,308
889,493,415,679,387,331
925,504,437,708,388,330
949,520,454,713,391,343
898,481,441,692,383,351
1024,613,492,738,450,376
1014,516,448,767,393,348
918,513,444,710,408,367
900,500,449,693,398,361
1026,551,490,700,393,359
925,503,432,712,391,345
955,537,437,739,431,349
868,492,451,690,400,380
975,543,464,726,432,380
1173,592,510,954,476,391
881,490,446,670,384,332
1117,545,479,906,441,392
927,506,439,705,396,355
901,482,389,696,371,305
972,504,406,770,391,327
1117,630,520,892,510,414
960,549,491,743,435,388
939,527,481,711,406,378
1438,660,566,1195,515,428
890,494,428,668,384,339
921,488,435,671,373,337
923,489,450,680,381,343
917,525,475,706,422,382
980,511,448,770,400,373
903,462,398,747,389,343
905,498,440,698,394,368
991,566,499,718,416,368
1116,637,501,900,520,412
905,519,450,705,417,387
989,536,464,707,399,363
887,491,436,679,389,359
848,464,420,679,382,336
1037,549,444,862,457,368
934,512,428,685,393,341
1496,623,524,1282,507,424
1275,630,507,1083,532,437
1073,595,486,856,478,385
882,508,444,671,399,369
1122,632,517,903,510,422
1094,552,491,838,435,368
947,517,412,750,413,335
945,520,416,750,413,336
941,514,411,750,413,336
210463,52912,45154,197954,50036,42995
37257,8681,7396,19989,5275,4647
888,530,430,608,358,283
1689,747,637,1395,571,496
1079,611,490,797,443,369
10950,3654,3234,10321,3447,3076
1088,617,519,801,440,369
1644,760,616,1351,590,476
577,372,296,297,210,157
1146,665,555,866,498,423
914,529,420,623,356,280
951,523,441,664,354,297
3958,1383,1202,3605,1175,1030
1150,588,509,866,419,370
1079,620,517,790,445,372
816,485,364,530,322,233
9224,3005,2634,8854,2801,2469
9006,2962,2567,8500,2714,2355
7226,2050,1754,6835,1828,1575
4365,1976,1655,4067,1820,1544
36542,11000,9827,35680,10549,9413
11690,3782,3383,11042,3525,3155
18840,4735,4189,18206,4466,3983
6085,1880,1655,5640,1672,1497
2814,977,813,2465,790,678
3617,1422,1259,3295,1244,1117
1841,775,643,1535,618,514
17982,5096,4543,17460,4783,4287
4306,1343,1174,3876,1139,1005
10108,2864,2563,9538,2639,2367
23922,6162,5395,23282,5836,5145
11632,3535,3133,11167,3302,2946
3303,1333,1159,3027,1147,1013
9564,4203,3759,8784,3909,3490
95239,21668,18501,67329,15967,13869
6658,3126,2792,6603,3068,2743
107821,26684,22947,77919,20175,17695
4836,2437,2151,0,20,1
59792,19095,16956,58702,18523,16475
114367,29532,25753,113977,29315,25606
1202,659,512,1053,603,470
